FPR,TPR,Thresholds
0.0,0.0,inf
7.891725525786213e-05,0.00047350353154717277,1.0
0.00011837588288679319,0.0008680898078364834,0.9999999
0.00015783451051572427,0.0013021347117547252,0.99999976
0.00019729313814465533,0.0015783451051572426,0.99999964
0.00019729313814465533,0.0016967209880440358,0.9999995
0.00019729313814465533,0.0017361796156729668,0.9999994
0.00019729313814465533,0.0019729313814465534,0.9999993
0.00019729313814465533,0.0020123900090754845,0.99999917
0.00019729313814465533,0.0020913072643333466,0.99999905
0.00019729313814465533,0.002288600402478002,0.99999845
0.00019729313814465533,0.0025253521682515882,0.9999981
0.00019729313814465533,0.0025648107958805193,0.999998
0.00023675176577358638,0.0025648107958805193,0.99999774
0.00023675176577358638,0.0026437280511383814,0.999997
0.00023675176577358638,0.0027621039340251746,0.9999968
0.00023675176577358638,0.00295939707216983,0.99999666
0.00023675176577358638,0.003038314327427692,0.9999963
0.00027621039340251747,0.003038314327427692,0.9999962
0.00027621039340251747,0.003077772955056623,0.99999523
0.00031566902103144853,0.003117231582685554,0.9999951
0.00031566902103144853,0.003156690210314485,0.9999949
0.0003551276486603796,0.0031961488379434163,0.99999475
0.0003551276486603796,0.0032750660932012784,0.99999404
0.0003551276486603796,0.0033539833484591405,0.9999932
0.0003551276486603796,0.0034329006037170026,0.99999297
0.0003551276486603796,0.0034723592313459337,0.9999925
0.0003551276486603796,0.003551276486603796,0.9999919
0.0003551276486603796,0.003590735114232727,0.9999918
0.00039458627628931065,0.003590735114232727,0.9999914
0.00039458627628931065,0.003748569624748451,0.99999034
0.00039458627628931065,0.003827486880006313,0.9999902
0.00039458627628931065,0.0038669455076352443,0.99998987
0.00039458627628931065,0.003945862762893107,0.99998975
0.00039458627628931065,0.0040642386457799,0.9999889
0.00039458627628931065,0.004222073156295624,0.99998856
0.00039458627628931065,0.004498283549698142,0.99998593
0.0004340449039182417,0.004537742177327072,0.9999856
0.0004340449039182417,0.004577200804956004,0.99998534
0.0004340449039182417,0.004656118060213866,0.99998474
0.0004340449039182417,0.00481395257072959,0.9999825
0.0004340449039182417,0.004892869825987452,0.99998236
0.0004340449039182417,0.005169080219389969,0.9999795
0.00047350353154717277,0.005169080219389969,0.99997866
0.00047350353154717277,0.005721501006195005,0.9999689
0.0005129621591761039,0.005721501006195005,0.99996877
0.0005129621591761039,0.005800418261452867,0.99996793
0.0005524207868050349,0.005800418261452867,0.9999678
0.0005524207868050349,0.005958252771968591,0.99996686
0.000591879414433966,0.005997711399597522,0.9999666
0.000591879414433966,0.0061160872824843155,0.9999652
0.000591879414433966,0.006195004537742178,0.99996424
0.000591879414433966,0.00627392179300004,0.99996316
0.000591879414433966,0.006352839048257902,0.9999621
0.0006313380420628971,0.006352839048257902,0.999962
0.0006313380420628971,0.006786883952176143,0.99995685
0.0006707966696918281,0.006826342579805075,0.9999566
0.0007102552973207592,0.006826342579805075,0.99995565
0.0007102552973207592,0.006944718462691867,0.9999553
0.0007102552973207592,0.0070236357179497295,0.9999552
0.0007102552973207592,0.007536597877125834,0.9999478
0.0007102552973207592,0.007615515132383696,0.99994767
0.0007102552973207592,0.0077338910152704885,0.99994624
0.0007497139249496902,0.00777334964289942,0.99994516
0.0007497139249496902,0.0081284772915598,0.99993896
0.0007497139249496902,0.008207394546817662,0.9999387
0.0008286311802075524,0.008207394546817662,0.99993837
0.0008286311802075524,0.008404687684962317,0.9999367
0.0008286311802075524,0.00848360494022018,0.99993646
0.0008286311802075524,0.008838732588880559,0.99993265
0.0008680898078364834,0.00887819121650949,0.9999323
0.0008680898078364834,0.009470070630943456,0.99992275
0.0009075484354654145,0.009470070630943456,0.99992216
0.0009075484354654145,0.009746281024345974,0.9999193
0.0009075484354654145,0.009825198279603835,0.99991906
0.0009075484354654145,0.009864656907232766,0.99991894
0.0009075484354654145,0.009943574162490629,0.9999188
0.0009075484354654145,0.010140867300635284,0.99991477
0.0009470070630943455,0.010140867300635284,0.99991465
0.0009470070630943455,0.010259243183522077,0.99991274
0.0009470070630943455,0.010338160438779938,0.99991107
0.0009470070630943455,0.01037761906640887,0.99991035
0.0009470070630943455,0.010456536321666732,0.99990964
0.0009470070630943455,0.010495994949295663,0.9999093
0.0009470070630943455,0.010574912204553526,0.9999081
0.0009470070630943455,0.010811663970327111,0.99990416
0.0009470070630943455,0.010890581225584974,0.9999025
0.0009470070630943455,0.011008957108471768,0.9999013
0.0009470070630943455,0.011087874363729629,0.9999007
0.0009470070630943455,0.011166791618987492,0.9999
0.0009864656907232767,0.011166791618987492,0.99989986
0.0009864656907232767,0.011324626129503216,0.99989736
0.0009864656907232767,0.01148246064001894,0.99989676
0.0009864656907232767,0.011640295150534665,0.99989367
0.0009864656907232767,0.011719212405792526,0.9998933
0.0009864656907232767,0.011758671033421458,0.99989307
0.0010259243183522078,0.011758671033421458,0.9998925
0.0010259243183522078,0.011798129661050389,0.99989223
0.0010259243183522078,0.01187704691630825,0.9998921
0.0010259243183522078,0.011995422799195044,0.9998902
0.0010259243183522078,0.012074340054452907,0.9998901
0.0010259243183522078,0.012311091820226492,0.99988616
0.0010259243183522078,0.012429467703113286,0.9998858
0.0010259243183522078,0.012508384958371147,0.9998847
0.0010259243183522078,0.01258730221362901,0.99988437
0.0010259243183522078,0.012745136724144734,0.99988127
0.0010653829459811388,0.012745136724144734,0.99987924
0.0010653829459811388,0.013376474766207631,0.99987066
0.0010653829459811388,0.013455392021465493,0.9998704
0.0010653829459811388,0.013889436925383735,0.99986255
0.0010653829459811388,0.013968354180641598,0.9998622
0.0010653829459811388,0.01440239908455984,0.99985814
0.0010653829459811388,0.014481316339817701,0.9998573
0.0010653829459811388,0.014678609477962356,0.9998541
0.0010653829459811388,0.014757526733220219,0.9998536
0.0010653829459811388,0.015309947520025253,0.9998441
0.0011048415736100699,0.015309947520025253,0.99984145
0.0011048415736100699,0.015704533796314563,0.9998337
0.0011048415736100699,0.015822909679201358,0.99983203
0.0011048415736100699,0.016138578700232806,0.99982786
0.0011048415736100699,0.0162569545831196,0.9998271
0.0011048415736100699,0.017085585763327152,0.99981636
0.0011048415736100699,0.017164503018585013,0.99981624
0.0011048415736100699,0.0174012547843586,0.9998141
0.0011048415736100699,0.017559089294874323,0.999811
0.0011048415736100699,0.01775638243301898,0.9998066
0.0011048415736100699,0.01783529968827684,0.999806
0.0011048415736100699,0.018506096357968668,0.9997919
0.0011048415736100699,0.018585013613226533,0.9997918
0.0011048415736100699,0.018742848123742255,0.99979013
0.0011048415736100699,0.018821765379000117,0.9997898
0.0011048415736100699,0.018979599889515843,0.999788
0.0011048415736100699,0.019058517144773704,0.99978703
0.0011048415736100699,0.019334727538176222,0.99977654
0.001144300201239001,0.019334727538176222,0.9997743
0.001144300201239001,0.019492562048691948,0.9997727
0.001144300201239001,0.01957147930394981,0.9997708
0.001144300201239001,0.01961093793157874,0.9997706
0.001144300201239001,0.0196898551868366,0.9997702
0.001144300201239001,0.02004498283549698,0.9997652
0.001144300201239001,0.020123900090754845,0.99976474
0.001144300201239001,0.020834155388075603,0.9997477
0.001144300201239001,0.020913072643333464,0.9997476
0.001144300201239001,0.02107090715384919,0.9997452
0.001144300201239001,0.02114982440910705,0.999744
0.001144300201239001,0.021583869313025292,0.99972934
0.001183758828867932,0.021623327940654222,0.9997291
0.001183758828867932,0.021702245195912087,0.9997278
0.001183758828867932,0.02178116245116995,0.9997272
0.001183758828867932,0.02221520735508819,0.9997156
0.001223217456496863,0.02221520735508819,0.99971515
0.001223217456496863,0.02300437990766681,0.99968874
0.001223217456496863,0.023083297162924673,0.999688
0.001223217456496863,0.024464349129937262,0.99964523
0.001223217456496863,0.024543266385195123,0.99964035
0.001223217456496863,0.026121611490352366,0.9995783
0.0012626760841257941,0.026121611490352366,0.99957794
0.0012626760841257941,0.027857791106025334,0.9994992
0.0012626760841257941,0.027936708361283195,0.99949825
0.0012626760841257941,0.02848912914808823,0.9994709
0.0013021347117547252,0.02852858777571716,0.9994677
0.0013021347117547252,0.029357218955924712,0.9993839
0.0013415933393836562,0.029357218955924712,0.99938214
0.0013415933393836562,0.029751805232214025,0.99935716
0.0013810519670125873,0.029751805232214025,0.9993525
0.0013810519670125873,0.029830722487471886,0.9993511
0.0014205105946415184,0.029830722487471886,0.9993481
0.0014205105946415184,0.030856646805824093,0.9992587
0.0014599692222704494,0.030856646805824093,0.99925286
0.0014599692222704494,0.031566902103144855,0.9991961
0.0014599692222704494,0.031645819358402716,0.9991953
0.0014599692222704494,0.032434991910981335,0.9991027
0.0014599692222704494,0.0325139091662392,0.99909794
0.0014599692222704494,0.032869036814899576,0.99906594
0.0015388864775283115,0.032869036814899576,0.99905473
0.0015388864775283115,0.03290849544252851,0.9990414
0.0015783451051572426,0.03290849544252851,0.9990308
0.0015783451051572426,0.03334254034644675,0.9989818
