FPR,TPR,Thresholds
0.0,0.0,inf
0.0003138567766909034,0.018362609328177695,1.0
0.0003138567766909034,0.028260877131312145,0.9999999
0.0003138567766909034,0.03470310417195978,0.99999976
0.0003138567766909034,0.03999331762511181,0.99999964
0.0003138567766909034,0.04452828349975463,0.9999995
0.00032693414238635767,0.048457659150155055,0.9999994
0.00032693414238635767,0.05181972901577667,0.9999993
0.00032693414238635767,0.055153955652697484,0.99999917
0.00032693414238635767,0.058084455473456705,0.99999905
0.00032693414238635767,0.06094882762605152,0.9999989
0.00032693414238635767,0.06352084587728793,0.9999988
0.00032693414238635767,0.06608242291776155,0.9999987
0.00032693414238635767,0.06844909735732956,0.99999857
0.00032693414238635767,0.07084709542918596,0.99999845
0.00032693414238635767,0.07313024018265157,0.99999833
0.00032693414238635767,0.07516279587781,0.9999982
0.00032693414238635767,0.0772301556088444,0.9999981
0.00032693414238635767,0.07936016260445561,0.999998
0.00032693414238635767,0.08121521771664643,0.99999785
0.00032693414238635767,0.08313292009341403,0.99999774
0.00032693414238635767,0.08500537722354284,0.9999976
0.00032693414238635767,0.08691611879313525,0.9999975
0.00032693414238635767,0.08857627130442046,0.9999974
0.00032693414238635767,0.09032343390539567,0.99999726
0.00032693414238635767,0.09189309592340328,0.99999714
0.00032693414238635767,0.09347667955576129,0.999997
0.00032693414238635767,0.0950219787486557,0.9999969
0.00032693414238635767,0.0964767874482725,0.9999968
0.00032693414238635767,0.0978445860581993,0.99999666
0.00032693414238635767,0.09930635556499132,0.99999654
0.00032693414238635767,0.10069503659644373,0.9999964
0.00032693414238635767,0.10211504126018453,0.9999963
0.00032693414238635767,0.10350372229163694,0.9999962
0.00032693414238635767,0.10483671686568774,0.99999607
0.00032693414238635767,0.10608270135004855,0.99999595
0.00032693414238635767,0.10725907776265736,0.9999958
0.00032693414238635767,0.10851550345778097,0.9999957
0.00032693414238635767,0.10988330206770777,0.9999956
0.00032693414238635767,0.11107011969107938,0.99999547
0.00032693414238635767,0.11228130013956418,0.99999535
0.00032693414238635767,0.11341939211270939,0.99999523
0.00032693414238635767,0.1144774348033398,0.9999951
0.000340011508081812,0.11557724233702141,0.999995
0.000340011508081812,0.1167570991532178,0.9999949
0.000340011508081812,0.1177455337720962,0.99999475
0.000340011508081812,0.11888014534165382,0.99999464
0.000340011508081812,0.11992426641793383,0.9999945
0.0003530888737772663,0.12095446587986343,0.9999944
0.0003530888737772663,0.12201598897408143,0.9999943
0.0003530888737772663,0.12297309996067143,0.99999416
0.0003530888737772663,0.12397893659748785,0.99999404
0.0003530888737772663,0.12496737121636625,0.9999939
0.0003530888737772663,0.12596624704600745,0.9999938
0.0003530888737772663,0.12705213296533865,0.9999937
0.0003530888737772663,0.12800576354834106,0.99999356
0.0003661662394727206,0.12891414888470468,0.99999344
0.0003661662394727206,0.12982253422106826,0.9999933
0.0003661662394727206,0.13074484117178228,0.9999932
0.0003661662394727206,0.1315627360148683,0.9999931
0.0003661662394727206,0.1324293565081807,0.99999297
0.0003661662394727206,0.13336558507324509,0.99999285
0.0003661662394727206,0.13421828395220708,0.9999927
