Thresholds,FAR,FRR
inf,0.0,1.0
1.0,7.803355442840422e-05,0.5910651580179478
0.9999999,0.00015606710885680844,0.5332422941865003
0.99999976,0.00023410066328521264,0.5045259461568474
0.99999964,0.00023410066328521264,0.48490050721810374
0.9999995,0.00023410066328521264,0.47136168552477564
0.9999994,0.00023410066328521264,0.4602028872415138
0.9999993,0.00023410066328521264,0.4513070620366758
0.99999917,0.00023410066328521264,0.4433476394849786
0.99999905,0.00023410066328521264,0.43710495513070624
0.9999989,0.00023410066328521264,0.4305891533359345
0.9999988,0.00023410066328521264,0.42500975419430354
0.9999987,0.00023410066328521264,0.4202106905969567
0.99999857,0.00023410066328521264,0.4150994927818962
0.99999845,0.00027311744049941474,0.4110417479516192
0.99999833,0.00027311744049941474,0.40745220444791264
0.9999982,0.00027311744049941474,0.40358954350370657
0.9999981,0.00027311744049941474,0.4003511509949278
0.999998,0.00031213421771361687,0.39676160749122125
0.99999785,0.00031213421771361687,0.39325009754194307
0.99999774,0.00031213421771361687,0.39071400702301995
0.9999976,0.00031213421771361687,0.38786578228638313
0.9999975,0.00031213421771361687,0.38493952399531794
0.9999974,0.00031213421771361687,0.3815840811548966
0.99999726,0.00031213421771361687,0.378969957081545
0.99999714,0.00031213421771361687,0.3764728833398361
0.999997,0.00031213421771361687,0.37420991026141237
0.9999969,0.00031213421771361687,0.3715567694108467
0.9999968,0.00031213421771361687,0.3698010144362076
0.99999666,0.00031213421771361687,0.36742099102614123
0.99999654,0.00031213421771361687,0.365821303160359
0.9999964,0.00031213421771361687,0.3632071790870074
0.9999963,0.00031213421771361687,0.36137339055793993
0.9999962,0.00035115099492781895,0.3596956691377292
0.99999607,0.00035115099492781895,0.35844713226687475
0.99999595,0.00035115099492781895,0.35704252828716343
0.9999958,0.00035115099492781895,0.3554818571985954
0.9999957,0.00035115099492781895,0.3541943035505267
0.9999956,0.00035115099492781895,0.3525946156847445
0.99999547,0.00035115099492781895,0.35095591104174795
0.99999535,0.00035115099492781895,0.3502145922746781
0.99999523,0.00035115099492781895,0.34865392118611005
0.9999951,0.0003901677721420211,0.3471322668747562
0.999995,0.0003901677721420211,0.34572766289504486
0.9999949,0.0003901677721420211,0.34459617635583306
0.99999475,0.0003901677721420211,0.34315255559890756
0.99999464,0.0003901677721420211,0.34209910261412413
0.9999945,0.0003901677721420211,0.3412797502926258
0.9999944,0.0003901677721420211,0.3397971127584861
0.9999943,0.0003901677721420211,0.33854857588763165
0.99999416,0.0003901677721420211,0.3372220054623488
0.99999404,0.0003901677721420211,0.3361685524775654
0.9999939,0.0003901677721420211,0.3350370659383535
0.9999938,0.0003901677721420211,0.33425673039406945
0.9999937,0.0003901677721420211,0.33312524385485753
0.99999356,0.0003901677721420211,0.3323058915333593
0.99999344,0.0003901677721420211,0.33136948888021844
0.9999932,0.0003901677721420211,0.32965275068279365
0.9999931,0.0003901677721420211,0.328950448692938
